(30.288466, -97.737834), AHG
(), ARL
(30.286136, -97.733071), ART
(30.291071, -97.737538), ASE
(30.284826, -97.738899), BAT
(30.283749, -97.733450), BEL
(30.283974, -97.739007), BEN
(30.287198, -97.739769), BIO
(30.289236, -97.738738), BME
(30.285229, -97.736750), BRB
(30.285313, -97.740343), BTL
(30.288847, -97.738377), BUR
(30.284483, -97.740156), CAL
(30.284206, -97.737861), CBA
(30.288053, -97.730467), CCJ
(30.289438, -97.740757), CMA
(30.289176, -97.741157), CMB
(30.290227, -97.736164), CPE
(30.288698, -97.740107), CRD
(30.285842, -97.731806), DFA
(30.290227, -97.740779), DMC
(30.288957, -97.735544), ECJ
(30.288308, -97.735347), EER
(30.285767, -97.736673), EPS
(30.289880, -97.735410), ETC
(30.286278, -97.740301), FAC
(30.283386, -97.741251), FDG
(), FNT
(30.285141, -97.738537), GAR
(30.286237, -97.736596), GDC
(30.287754, -97.739223), GEA
(30.287504, -97.735749), GLT
(30.285379, -97.741232), GOL
(30.284004, -97.736441), GRE
(30.284196, -97.738366), GSB
(30.287810, -97.739921), GWB
(30.275507, -97.733360), HLB
(30.284050, -97.740229), HRH
(30.294792, -97.746729), IC2
(30.282799, -97.736902), JES
(30.285832, -97.735780), JGB
(30.278369, -97.732044), JHH
(30.285883, -97.729305), LBJ
(30.285943, -97.735228), LTH
(30.285998, -97.739405), MAI
(30.284404, -97.738985), MEZ
(30.287270, -97.730718), MRH
(30.287689, -97.738049), NHB
(30.277735, -97.733510), NUR
(), NY1
(30.286408, -97.731242), PAC
(30.287116, -97.738735), PAI
(30.284908, -97.740137), PAR
(30.288101, -97.738582), PHR
(30.288741, -97.736110), PMA
(), PSA
(30.284928, -97.735499), RLP
(30.282173, -97.741587), RRH
(30.281547, -97.732411), RSC
(), S06
(30.289954, -97.737678), SEA
(30.284956, -97.728892), SRH
(30.284942, -97.740863), SUT
(30.281659, -97.738782), SZB
(), T5A
(30.287031, -97.729074), TCC
(30.288538, -97.730872), TNH
(30.279857, -97.733502), TSC
(30.279304, -97.742837), UTA
(30.283214, -97.738820), UTC
(30.285086, -97.737623), WAG
(30.286068, -97.738438), WCH
(30.284868, -97.736696), WCP
(30.286582, -97.737682), WEL
(30.285845, -97.734508), WIN
(30.285534, -97.740645), WMB
(30.289306, -97.741856), WWH
