course,unique,days,hour,room,instruction_mode,instructor,status,level
FR f317C ENHANCING FRENCH SKILLS-FRA  (First term),79525,,,,Face-to-face,"HAESEN, MORGANE",open; reserved,Lower
FR s611C INTERMEDIATE FRENCH-WB  (Second term),79565,MTWTHF,10:00 a.m.-11:30 a.m.,,Internet,"SCHLEPPE, BEATRIZ E",waitlisted,Lower
FR s611C INTERMEDIATE FRENCH-WB  (Second term),79570,MTWTHF,11:30 a.m.-1:00 p.m.,,Internet,,cancelled,Lower
FR f322E ADVANCED FRENCH II-FRA  (First term),79530,,,,Face-to-face,"SHOEMAKER, ELLENOR",open; reserved,Upper
FR w385L CONF CRS IN FRENCH LANG & LIT  (Whole term),79535,,,,Face-to-face,,open,Graduate
FR w395L COMPREHENSIVE EXAM PREPARATION  (Whole term),79540,,,,Face-to-face,,open,Graduate
FR w698A THESIS  (Whole term),79545,,,,Face-to-face,,open,Graduate
FR w698B THESIS  (Whole term),79550,,,,Face-to-face,,open,Graduate
FR w398R MASTER'S REPORT  (Whole term),79555,,,,Face-to-face,,open,Graduate
FR w399W DISSERTATION  (Whole term),79560,,,,Face-to-face,,open,Graduate
GEO f661B GEOPHYSICS FIELD CAMP  (First term),76670,,,,Face-to-face,"SPIKES, KYLE THOMAS",cancelled,Upper
GEO f679GA SPCL ST GEOPHYSICS RES/FLD/INT  (First term),76675,,,,Face-to-face,,open; reserved,Upper
GEO s171C GEOSCIENCES INDIV STDS SEMINAR  (Second term),76720,,,,Face-to-face,,open,Upper
GEO s271C GEOSCIENCES INDIV STDS SEMINAR  (Second term),76725,,,,Face-to-face,,open,Upper
GEO s371C GEOSCIENCES INDIV STDS SEMINAR  (Second term),76730,,,,Face-to-face,,open,Upper
GEO s679GB SPCL ST GEOPHYSICS RES/FLD/INT  (Second term),76735,,,,Face-to-face,,open,Upper
GEO f394 GEOSCIENCES INDIV RESEARCH  (First term),76680,,,,Face-to-face,,open,Graduate
GEO w394 GEOSCIENCES INDIV RESEARCH  (Whole term),76685,,,,Face-to-face,,open,Graduate
GEO w698A THESIS  (Whole term),76690,,,,Face-to-face,,open,Graduate
GEO w698B THESIS  (Whole term),76695,,,,Face-to-face,,open,Graduate
GEO w398R MASTER'S REPORT  (Whole term),76700,,,,Face-to-face,,open,Graduate
GEO w399W DISSERTATION  (Whole term),76705,,,,Face-to-face,,open,Graduate
GEO w699W DISSERTATION  (Whole term),76710,,,,Face-to-face,,open,Graduate
GEO w999W DISSERTATION  (Whole term),76715,,,,Face-to-face,,open,Graduate
GEO s394 GEOSCIENCES INDIV RESEARCH  (Second term),76740,,,,Face-to-face,,open,Graduate
