course,unique,days,hour,room,instruction_mode,instructor,status,level
AAS  301 INTRO TO ASIAN AMER STUDIES,35134,MWF,1:00 p.m.-2:00 p.m.,RLP 0.126,Face-to-face,"SCHLUND-VIALS, CATHY JEAN",open,Lower
AAS  302 IMMIGRATION AND ETHNICITY,35135,TTH,8:00 a.m.-9:30 a.m.,JGB 2.218,Face-to-face,"CORTEZ, JONATHAN",waitlisted,Lower
AAS  310 ASIAN AMERICAN VISUAL ARTS,35140,MW,3:30 p.m.-5:00 p.m.,DFA 2.204,Face-to-face,"KIM, ALLISON ROBIN",open,Lower
AAS  310 1-PSY PERSP ASIAN AMER IDENT,35145,TTH,12:30 p.m.-2:00 p.m.,GEA 127,Face-to-face,"JIN, ARNOLD R",open,Lower
AAS  310 6-ASIAN AMERICAN FILM HISTORY,35150,TTH,11:00 a.m.-12:30 p.m.,,Face-to-face,"HO, XUAN AN",cancelled,Lower
AAS  312 INTRO TO ASIAN AMERICAN HIST,35155,MWF,1:00 p.m.-2:00 p.m.,,Face-to-face,,cancelled,Lower
AAS  320C CONTEMP ASIAN AMERICAN NOVELS,35160,TTH,9:30 a.m.-11:00 a.m.,PAR 105,Face-to-face,"LIM, JEEHYUN",open; reserved,Upper
AAS  320K THEORIZING THE HUMAN,35165,TTH,11:00 a.m.-12:30 p.m.,,Face-to-face,"CHHUN, LINA",cancelled,Upper
AAS  325G HIST SE ASIAN DIASP IN US,35170,TTH,9:30 a.m.-11:00 a.m.,GEA 127,Face-to-face,"CHHUN, LINA",open,Upper
AAS  325J SOUTH ASIAN MIGRATION TO US,35175,MWF,9:00 a.m.-10:00 a.m.,,Face-to-face,,cancelled,Upper
AAS  330G URBAN UNREST,35179,MW,3:30 p.m.-5:00 p.m.,BUR 212,Face-to-face,"TANG, ERIC",open,Upper
AAS  330I ASIAN DIAS ON INDIGENOUS LANDS,35180,TTH,9:30 a.m.-11:00 a.m.,,Face-to-face,"MEI-SINGH, LAUREL",cancelled,Upper
AAS  330K ASIAN AMERICANS IN THE SOUTH,35184,TTH,11:00 a.m.-12:30 p.m.,RLP 0.120,Face-to-face,"HO, XUAN AN",open,Upper
AAS  330L ANTHROPOL OF THE HIMALAYAS,35185,TTH,2:00 p.m.-3:30 p.m.,MEZ 1.210,Face-to-face,"HINDMAN, HEATHER ANNE",open,Upper
ACC  310F FOUNDATIONS OF ACCOUNTING,03055,TTH,11:00 a.m.-12:30 p.m.,GSB 2.126,Face-to-face,"VERDUZCO, DAVID B",waitlisted,Lower
ACC  310F FOUNDATIONS OF ACCOUNTING-WB,03060,,,,Internet,"VERDUZCO, DAVID B",open,Lower
ACC  311 FUNDAMENTALS OF FINANCIAL ACC,03065,TTH,12:30 p.m.-2:00 p.m.,GSB 3.138,Face-to-face,"BADOLATO, PATRICK G",open; reserved,Lower
ACC  311 FUNDAMENTALS OF FINANCIAL ACC,03070,MW,8:00 a.m.-9:30 a.m.,GSB 2.120,Face-to-face,"FANNIN, DANIEL PAUL CLARK",waitlisted,Lower
ACC  311 FUNDAMENTALS OF FINANCIAL ACC,03075,TTH,8:00 a.m.-9:30 a.m.,GSB 2.120,Face-to-face,"BROWN, TAYLOR S",open; reserved,Lower
ACC  311 FUNDAMENTALS OF FINANCIAL ACC,03080,MW,9:30 a.m.-11:00 a.m.,CBA 4.328,Face-to-face,"FINLEY, ANNE B",open; reserved,Lower
ACC  311 FUNDAMENTALS OF FINANCIAL ACC,03085,TTH,11:00 a.m.-12:30 p.m.,GSB 3.138,Face-to-face,"BADOLATO, PATRICK G",open; reserved,Lower
ACC  311 FUNDAMENTALS OF FINANCIAL ACC,03090,MW,9:30 a.m.-11:00 a.m.,GSB 2.120,Face-to-face,"FANNIN, DANIEL PAUL CLARK",closed,Lower
ACC  311 FUNDAMENTALS OF FINANCIAL ACC,03095,TTH,9:30 a.m.-11:00 a.m.,CBA 4.348,Face-to-face,"EDWARDS, LEIGH",open; reserved,Lower
ACC  311 FUNDAMENTALS OF FINANCIAL ACC,03100,MW,11:00 a.m.-12:30 p.m.,CBA 4.328,Face-to-face,"FINLEY, ANNE B",waitlisted,Lower
ACC  311 FUNDAMENTALS OF FINANCIAL ACC,03105,MW,11:00 a.m.-12:30 p.m.,UTC 1.104,Face-to-face,"ALLEN, MEGAN E",waitlisted,Lower
ACC  311 FUNDAMENTALS OF FINANCIAL ACC,03110,TTH,8:00 a.m.-9:30 a.m.,GSB 3.138,Face-to-face,"FANNIN, DANIEL PAUL CLARK",waitlisted,Lower
ACC  311 FUNDAMENTALS OF FINANCIAL ACC,03115,TTH,11:00 a.m.-12:30 p.m.,CBA 4.348,Face-to-face,"EDWARDS, LEIGH",waitlisted,Lower
ACC  311 FUNDAMENTALS OF FINANCIAL ACC,03120,TTH,11:00 a.m.-12:30 p.m.,GSB 5.142A,Face-to-face,"ROY BARDHAN, ANINDITA",open; reserved,Lower
ACC  311 FUNDAMENTALS OF FINANCIAL ACC,03125,MW,12:30 p.m.-2:00 p.m.,CBA 4.348,Face-to-face,"EDWARDS, LEIGH",open; reserved,Lower
ACC  311 FUNDAMENTALS OF FINANCIAL ACC,03130,MW,12:30 p.m.-2:00 p.m.,UTC 1.104,Face-to-face,"ALLEN, MEGAN E",waitlisted,Lower
ACC  311 FUNDAMENTALS OF FINANCIAL ACC,03135,MW,2:00 p.m.-3:30 p.m.,CBA 4.348,Face-to-face,"HENRY, BYRON KEITH",waitlisted,Lower
ACC  311 FUNDAMENTALS OF FINANCIAL ACC,03140,TTH,9:30 a.m.-11:00 a.m.,GSB 3.138,Face-to-face,"FANNIN, DANIEL PAUL CLARK",waitlisted,Lower
ACC  311 FUNDAMENTALS OF FINANCIAL ACC,03145,TTH,2:00 p.m.-3:30 p.m.,GSB 5.142A,Face-to-face,"ROY BARDHAN, ANINDITA",open; reserved,Lower
ACC  311 FUNDAMENTALS OF FINANCIAL ACC,03150,MW,3:30 p.m.-5:00 p.m.,CBA 4.348,Face-to-face,"HENRY, BYRON KEITH",open; reserved,Lower
ACC  311 FUNDAMENTALS OF FINANCIAL ACC,03155,TTH,3:30 p.m.-5:00 p.m.,GSB 5.142A,Face-to-face,"ROY BARDHAN, ANINDITA",waitlisted,Lower
ACC  311H FUNDMNTLS OF FIN ACC: HON,03160,TTH,9:30 a.m.-11:00 a.m.,CBA 4.324,Face-to-face,"HUTZLER, CHRISTIAN M",waitlisted,Lower
ACC  311H FUNDMNTLS OF FIN ACC: HON,03165,TTH,11:00 a.m.-12:30 p.m.,CBA 4.324,Face-to-face,"HUTZLER, CHRISTIAN M",waitlisted,Lower
ACC  311H FUNDMNTLS OF FIN ACC: HON,03170,TTH,11:00 a.m.-12:30 p.m.,CBA 5.304,Face-to-face,"CHARRIER, GRETCHEN B",open; reserved,Lower
ACC  311H FUNDMNTLS OF FIN ACC: HON,03175,TTH,12:30 p.m.-2:00 p.m.,CBA 5.304,Face-to-face,"CHARRIER, GRETCHEN B",waitlisted,Lower
ACC  311H FUNDMNTLS OF FIN ACC: HON,03180,TTH,2:00 p.m.-3:30 p.m.,CBA 4.324,Face-to-face,"HUTZLER, CHRISTIAN M",waitlisted,Lower
ACC  312 FUNDAMENTALS OF MANAGERIAL ACC,03185,MW,3:30 p.m.-5:00 p.m.,UTC 1.130,Face-to-face,"FELDOTT, BRIAN M",open; reserved,Lower
ACC  312 FUNDAMENTALS OF MANAGERIAL ACC,03190,TTH,9:30 a.m.-11:00 a.m.,UTC 4.122,Face-to-face,"LENDECKY, BRIAN R",waitlisted,Lower
ACC  312 FUNDAMENTALS OF MANAGERIAL ACC,03195,MW,2:00 p.m.-3:30 p.m.,UTC 1.130,Face-to-face,"FELDOTT, BRIAN M",waitlisted,Lower
ACC  312 FUNDAMENTALS OF MANAGERIAL ACC,03200,TTH,11:00 a.m.-12:30 p.m.,UTC 4.122,Face-to-face,"LENDECKY, BRIAN R",waitlisted,Lower
ACC  312 FUNDAMENTALS OF MANAGERIAL ACC,03205,MW,12:30 p.m.-2:00 p.m.,UTC 1.130,Face-to-face,"LENDECKY, BRIAN R",waitlisted,Lower
ACC  312 FUNDAMENTALS OF MANAGERIAL ACC,03210,TTH,12:30 p.m.-2:00 p.m.,UTC 4.122,Face-to-face,"LENDECKY, BRIAN R",waitlisted,Lower
ACC  326 FINANCIAL ACC-INTERMEDIATE,03215,MW,8:00 a.m.-9:30 a.m.,UTC 1.144,Face-to-face,"SAGRILLA, JOE",closed,Upper
ACC  326 FINANCIAL ACC-INTERMEDIATE,03220,MW,9:30 a.m.-11:00 a.m.,UTC 1.144,Face-to-face,"SAGRILLA, JOE",closed,Upper
ACC  326 FINANCIAL ACC-INTERMEDIATE,03225,TTH,9:30 a.m.-11:00 a.m.,GSB 3.106,Face-to-face,"SMITH, STEPHEN T",waitlisted,Upper
ACC  326 FINANCIAL ACC-INTERMEDIATE,03230,TTH,11:00 a.m.-12:30 p.m.,GSB 3.106,Face-to-face,"SMITH, STEPHEN T",waitlisted,Upper
ACC  326 FINANCIAL ACC-INTERMEDIATE,03235,MW,12:30 p.m.-2:00 p.m.,CBA 5.304,Face-to-face,"BONYUET, DERRICK",waitlisted,Upper
ACC  326 FINANCIAL ACC-INTERMEDIATE,03240,MW,2:00 p.m.-3:30 p.m.,CBA 5.304,Face-to-face,"BONYUET, DERRICK",waitlisted,Upper
ACC  326 FINANCIAL ACC-INTERMEDIATE,03245,MW,2:00 p.m.-3:30 p.m.,GSB 2.120,Face-to-face,"FINLEY, ANNE B",waitlisted,Upper
ACC  326 FINANCIAL ACC-INTERMEDIATE,03250,MW,11:00 a.m.-12:30 p.m.,UTC 1.144,Face-to-face,"SAGRILLA, JOE",closed,Upper
ACC  326 FINANCIAL ACC-INTERMEDIATE,03255,MW,3:30 p.m.-5:00 p.m.,CBA 5.304,Face-to-face,"BONYUET, DERRICK",waitlisted,Upper
ACC  326 FINANCIAL ACC-INTERMEDIATE,03260,TTH,2:00 p.m.-3:30 p.m.,CBA 5.304,Face-to-face,"SMITH, STEPHEN T",waitlisted,Upper
ACC  327 FINANCIAL STATEMENT ANALYSIS,03265,MW,8:00 a.m.-9:30 a.m.,CBA 4.350,Face-to-face,"VIDINOVA, HRISTIANA",open; reserved,Upper
ACC  327 FINANCIAL STATEMENT ANALYSIS,03270,MW,9:30 a.m.-11:00 a.m.,CBA 4.350,Face-to-face,"VIDINOVA, HRISTIANA",waitlisted,Upper
ACC  329 MANAGERIAL ACC AND CONTROL,03275,TTH,8:00 a.m.-9:30 a.m.,GSB 3.106,Face-to-face,"SMITH, STEPHEN T",waitlisted,Upper
ACC  329 MANAGERIAL ACC AND CONTROL,03280,MW,11:00 a.m.-12:30 p.m.,GSB 3.138,Face-to-face,"LAUX, VOLKER",waitlisted,Upper
ACC  329 MANAGERIAL ACC AND CONTROL,03285,MW,12:30 p.m.-2:00 p.m.,GSB 3.138,Face-to-face,"LAUX, VOLKER",waitlisted,Upper
ACC  329 MANAGERIAL ACC AND CONTROL,03290,MW,2:00 p.m.-3:30 p.m.,GSB 3.138,Face-to-face,"LAUX, VOLKER",waitlisted,Upper
ACC  334M HEALTHCARE ACCOUNTING,03295,TTH,9:30 a.m.-11:00 a.m.,GSB 5.142A,Face-to-face,"ROY BARDHAN, ANINDITA",open,Upper
ACC  151 ACCOUNTING CAREERS EXPLORATION,03300,M,3:30 p.m.-5:00 p.m.,GSB 2.124,Face-to-face,"BHADURI, RAKA",open; reserved,Upper
ACC  152 MPA DISTINGUISHED SPKR LYCEUM,03305,T,5:30 p.m.-7:00 p.m.,UTC 2.102A,Face-to-face,"ZVINAKIS, KRISTINA",open; reserved,Upper
ACC  355 INTRODUCTION TO TAXATION,03310,TTH,11:00 a.m.-12:30 p.m.,UTC 1.118,Face-to-face,"ALLEN, MEGAN E",open; reserved,Upper
ACC  355 INTRODUCTION TO TAXATION,03315,TTH,12:30 p.m.-2:00 p.m.,UTC 1.118,Face-to-face,"ALLEN, MEGAN E",open; reserved,Upper
ACC  355 INTRODUCTION TO TAXATION,03320,MW,9:30 a.m.-11:00 a.m.,GSB 3.128,Face-to-face,"BELNAP, ANDREW",open; reserved,Upper
ACC  355 INTRODUCTION TO TAXATION,03325,MW,11:00 a.m.-12:30 p.m.,GSB 3.128,Face-to-face,"BELNAP, ANDREW",open; reserved,Upper
ACC  355 INTRODUCTION TO TAXATION,03330,MW,12:30 p.m.-2:00 p.m.,GSB 3.128,Face-to-face,"BELNAP, ANDREW",open; reserved,Upper
ACC  356 FINANCIAL ACC CONCEPTS & RSCH,03335,MW,9:30 a.m.-11:00 a.m.,SZB 2.802,Face-to-face,"TOYNBEE, SARA M",open; reserved,Upper
ACC  356 FINANCIAL ACC CONCEPTS & RSCH,03340,MW,11:00 a.m.-12:30 p.m.,CBA 4.348,Face-to-face,"EDWARDS, LEIGH",open; reserved,Upper
ACC  356 FINANCIAL ACC CONCEPTS & RSCH,03345,MW,11:00 a.m.-12:30 p.m.,SZB 2.802,Face-to-face,"TOYNBEE, SARA M",open; reserved,Upper
ACC  356 FINANCIAL ACC CONCEPTS & RSCH,03350,MW,12:30 p.m.-2:00 p.m.,SZB 2.802,Face-to-face,"TOYNBEE, SARA M",open; reserved,Upper
ACC  358C AUDITING AND ASSURANCE SERVS,03355,TTH,9:30 a.m.-11:00 a.m.,UTC 1.116,Face-to-face,"WESTALL, LARRY",open; reserved,Upper
ACC  358C AUDITING AND ASSURANCE SERVS,03360,TTH,11:00 a.m.-12:30 p.m.,UTC 3.132,Face-to-face,"JONES, ANDREW K",open; reserved,Upper
ACC  358C AUDITING AND ASSURANCE SERVS,03365,TTH,9:30 a.m.-11:00 a.m.,UTC 3.132,Face-to-face,"JONES, ANDREW K",open; reserved,Upper
ACC  359 MANAGERIAL/COST ACCOUNTING,03370,TTH,8:00 a.m.-9:30 a.m.,GSB 3.106,Face-to-face,"SMITH, STEPHEN T",open; reserved,Upper
ACC  359 MANAGERIAL/COST ACCOUNTING,03375,MW,11:00 a.m.-12:30 p.m.,GSB 3.138,Face-to-face,"LAUX, VOLKER",open; reserved,Upper
ACC  359 MANAGERIAL/COST ACCOUNTING,03380,MW,12:30 p.m.-2:00 p.m.,GSB 3.138,Face-to-face,"LAUX, VOLKER",open; reserved,Upper
ACC  359 MANAGERIAL/COST ACCOUNTING,03385,MW,2:00 p.m.-3:30 p.m.,GSB 3.138,Face-to-face,"LAUX, VOLKER",open; reserved,Upper
ACC  362 AUDITING AND CONTROL,03390,TTH,9:30 a.m.-11:00 a.m.,UTC 1.116,Face-to-face,"WESTALL, LARRY",waitlisted,Upper
ACC  362 AUDITING AND CONTROL,03395,TTH,9:30 a.m.-11:00 a.m.,UTC 3.132,Face-to-face,"JONES, ANDREW K",waitlisted,Upper
ACC  362 AUDITING AND CONTROL,03400,TTH,11:00 a.m.-12:30 p.m.,UTC 3.132,Face-to-face,"JONES, ANDREW K",waitlisted,Upper
ACC  364 FUNDAMENTALS OF TAXATION,03405,MW,9:30 a.m.-11:00 a.m.,GSB 3.128,Face-to-face,"BELNAP, ANDREW",waitlisted,Upper
ACC  364 FUNDAMENTALS OF TAXATION,03410,MW,11:00 a.m.-12:30 p.m.,GSB 3.128,Face-to-face,"BELNAP, ANDREW",waitlisted,Upper
ACC  364 FUNDAMENTALS OF TAXATION,03415,TTH,11:00 a.m.-12:30 p.m.,UTC 1.118,Face-to-face,"ALLEN, MEGAN E",waitlisted,Upper
ACC  364 FUNDAMENTALS OF TAXATION,03420,MW,12:30 p.m.-2:00 p.m.,GSB 3.128,Face-to-face,"BELNAP, ANDREW",waitlisted,Upper
ACC  364 FUNDAMENTALS OF TAXATION,03425,TTH,12:30 p.m.-2:00 p.m.,UTC 1.118,Face-to-face,"ALLEN, MEGAN E",waitlisted,Upper
ACC  366C INTL ACCTING/TRANSFER PRICING,03430,M,3:30 p.m.-6:30 p.m.,RRH 4.308,Face-to-face,"ZOELLER, KATHRIN",waitlisted,Upper
ACC  367P INTERNAL AUDITING PRACTICUM,03435,M,11:00 a.m.-2:00 p.m.,RRH 5.382,Face-to-face,"GOODSON, STEPHEN G",open; reserved,Upper
ACC  367P INTERNAL AUDITING PRACTICUM,03440,M,3:30 p.m.-6:30 p.m.,RRH 5.382,Face-to-face,"GOODSON, STEPHEN G",open; reserved,Upper
ACC  372T 1-OIL/GAS ACCT/SUSTAINABILITY,03445,TTH,12:30 p.m.-2:00 p.m.,RRH 4.308,Face-to-face,"PARSONS, PAUL ANDREW",waitlisted,Upper
ACC  372T 1-OIL/GAS ACCT/SUSTAINABILITY,03450,TTH,2:00 p.m.-3:30 p.m.,RRH 4.308,Face-to-face,"PARSONS, PAUL ANDREW",open; reserved,Upper
ACC  372T 11-FINCL PLANNING WEALTH MGMT,03455,TTH,12:30 p.m.-2:00 p.m.,CBA 4.350,Face-to-face,"WILCZYNSKI, WAYNE E",waitlisted,Upper
ACC  372T 11-FINCL PLANNING WEALTH MGMT,03459,TTH,11:00 a.m.-12:30 p.m.,CBA 4.350,Face-to-face,"WILCZYNSKI, WAYNE E",waitlisted,Upper
ACC  372T 12-GLOBAL BUSN SUSTAINABILITY,03460,MW,12:30 p.m.-2:00 p.m.,SZB 3.814,Face-to-face,"HALES, JEFFREY",open; reserved,Upper
ACC  180C MPA DISTINGUISHED SPKR LYCEUM,03465,T,5:30 p.m.-7:00 p.m.,UTC 2.102A,Face-to-face,"ZVINAKIS, KRISTINA",open; reserved,Graduate
ACC  280J FINC STATMT ANLY FOR EXECUTIVE,03470,,,,Face-to-face,"BADOLATO, PATRICK G",open; reserved,Graduate
ACC  280K INTERMEDIATE ACCOUNTING I,03475,MW,11:30 a.m.-1:30 p.m.,RRH 5.402,Face-to-face,"WHITAKER, BRETT J",open; reserved,Graduate
ACC  280K 7-FINANCIAL STATMT ANLY-I-DAL,03480,,,,Face-to-face,"WILLIAMS, BRADEN MERN",open; reserved,Graduate
ACC  280K 7-FINANCIAL STATMT ANLY-I-HOU,03485,,,,Face-to-face,"BADOLATO, PATRICK G",open; reserved,Graduate
ACC  280K 7-FINANCIAL STATMT ANLY-II-DAL,03490,,,,Face-to-face,"WILLIAMS, BRADEN MERN",open; reserved,Graduate
ACC  280K 7-FINANCIAL STATMT ANLY-II-HOU,03495,,,,Face-to-face,"BADOLATO, PATRICK G",open; reserved,Graduate
ACC  280K 7-FINCL STMT ANLY-TEMBA-I,03500,,,,Face-to-face,"BADOLATO, PATRICK G",open; reserved,Graduate
ACC  280K 7-FINCL STMT ANLY-TEMBA-II,03505,,,,Face-to-face,"BADOLATO, PATRICK G",open; reserved,Graduate
ACC  380K WRITING FOR ACCOUNTANTS,03510,TTH,9:30 a.m.-11:00 a.m.,,Face-to-face,,cancelled,Graduate
ACC  380K 1-FINCL ACC STANDS AND ANLY I,03515,MW,9:30 a.m.-11:00 a.m.,RRH 3.402,Face-to-face,"CHEN, SHUPING",closed,Graduate
ACC  380K 1-FINCL ACC STANDS AND ANLY I,03520,MW,11:00 a.m.-12:30 p.m.,CBA 4.326,Face-to-face,"HWANG, HYUN",closed,Graduate
ACC  380K 1-FINCL ACC STANDS AND ANLY I,03525,MW,11:00 a.m.-12:30 p.m.,RRH 3.402,Face-to-face,"CHEN, SHUPING",closed,Graduate
ACC  380K 1-FINCL ACC STANDS AND ANLY I,03530,MW,12:30 p.m.-2:00 p.m.,CBA 4.326,Face-to-face,"HWANG, HYUN",closed,Graduate
ACC  380K 1-FINCL ACC STANDS AND ANLY I,03535,MW,2:00 p.m.-3:30 p.m.,RRH 3.402,Face-to-face,"CHEN, SHUPING",closed,Graduate
ACC  380K 2-FINCL ACC STANDS AND ANLY II,03540,MW,12:30 p.m.-2:00 p.m.,RRH 5.408,Face-to-face,"BRADSHAW, MARK L",closed,Graduate
ACC  380K 2-FINCL ACC STANDS AND ANLY II,03545,MW,2:00 p.m.-3:30 p.m.,RRH 5.408,Face-to-face,"BRADSHAW, MARK L",open; reserved,Graduate
ACC  380K 4-AUDITING/ASSURANCE SERVS,03550,TTH,11:00 a.m.-12:30 p.m.,UTC 3.132,Face-to-face,,open; reserved,Graduate
ACC  380K 4-AUDITING/ASSURANCE SERVS,03555,TTH,9:30 a.m.-11:00 a.m.,UTC 1.116,Face-to-face,"WESTALL, LARRY",open; reserved,Graduate
ACC  380K 4-AUDITING/ASSURANCE SERVS,03560,TTH,9:30 a.m.-11:00 a.m.,UTC 3.132,Face-to-face,,open; reserved,Graduate
ACC  380K 7-FINANCIAL STATEMENT ANALYSIS,03565,MW,11:00 a.m.-12:30 p.m.,RRH 4.308,Face-to-face,"BADOLATO, PATRICK G",waitlisted,Graduate
ACC  380K 7-FINANCIAL STATEMENT ANALYSIS,03570,MW,12:30 p.m.-2:00 p.m.,RRH 4.308,Face-to-face,"BADOLATO, PATRICK G",waitlisted,Graduate
ACC  380K 7-FINANCIAL STATEMENT ANALYSIS,03575,MW,2:00 p.m.-3:30 p.m.,RRH 4.308,Face-to-face,"BADOLATO, PATRICK G",waitlisted,Graduate
ACC  380K 11-INTRODUCTION TO TAXATION,03580,MW,9:30 a.m.-11:00 a.m.,GSB 3.128,Face-to-face,"BELNAP, ANDREW",open; reserved,Graduate
ACC  380K 11-INTRODUCTION TO TAXATION,03585,MW,11:00 a.m.-12:30 p.m.,GSB 3.128,Face-to-face,"BELNAP, ANDREW",open; reserved,Graduate
ACC  380K 11-INTRODUCTION TO TAXATION,03590,MW,12:30 p.m.-2:00 p.m.,GSB 3.128,Face-to-face,"BELNAP, ANDREW",open; reserved,Graduate
ACC  380K 11-INTRODUCTION TO TAXATION,03595,TTH,11:00 a.m.-12:30 p.m.,UTC 1.118,Face-to-face,"ALLEN, MEGAN E",open; reserved,Graduate
ACC  380K 11-INTRODUCTION TO TAXATION,03600,TTH,12:30 p.m.-2:00 p.m.,UTC 1.118,Face-to-face,"ALLEN, MEGAN E",open; reserved,Graduate
ACC  380K 12-COMP AUDIT AND SYS SECURITY,03605,MW,9:30 a.m.-11:00 a.m.,CBA 5.330,Face-to-face,"TANRIVERDI, HUSEYIN",closed,Graduate
ACC  380K 13-INFO TECH FOR ACC & CONTROL,03610,TTH,8:00 a.m.-9:30 a.m.,CBA 5.328,Face-to-face,"SIDDIQUI, SAAD M",closed,Graduate
ACC  380K 13-INFO TECH FOR ACC & CONTROL,03615,TTH,9:30 a.m.-11:00 a.m.,CBA 5.328,Face-to-face,"SIDDIQUI, SAAD M",closed,Graduate
ACC  380K 13-INFO TECH FOR ACC & CONTROL,03620,TTH,11:00 a.m.-12:30 p.m.,CBA 5.328,Face-to-face,"SIDDIQUI, SAAD M",closed,Graduate
ACC  380K 24-FIN PLANNING WEALTH MGMT,03625,TTH,12:30 p.m.-2:00 p.m.,CBA 4.350,Face-to-face,"WILCZYNSKI, WAYNE E",closed,Graduate
ACC  380K 24-FIN PLANNING WEALTH MGMT,03629,TTH,11:00 a.m.-12:30 p.m.,CBA 4.350,Face-to-face,"WILCZYNSKI, WAYNE E",closed,Graduate
ACC  380K 28-CORPORATE SUSTAINABILITY,03630,MW,11:00 a.m.-12:30 p.m.,RRH 5.408,Face-to-face,"HALES, JEFFREY",closed,Graduate
ACC  380K 28-CORPORATE SUSTAINABILITY,03635,TTH,11:00 a.m.-12:30 p.m.,RRH 4.308,Face-to-face,"PARSONS, PAUL ANDREW",closed,Graduate
ACC  380K 29-TAX FACTORS FOR FINCL PLAN,03640,MW,9:30 a.m.-11:00 a.m.,RRH 3.304,Face-to-face,"WHITAKER, BRETT J",open; reserved,Graduate
ACC  380K 29-TAX FACTORS FOR FINCL PLAN,03645,MW,11:00 a.m.-12:30 p.m.,RRH 3.304,Face-to-face,"WHITAKER, BRETT J",waitlisted,Graduate
ACC  380K 31-CODING/DATA ANALYSIS IN ACC,03650,TTH,12:30 p.m.-2:00 p.m.,GSB 3.128,Face-to-face,"HALLMAN, NICHOLAS JENNING",closed,Graduate
ACC  380K 31-CODING/DATA ANALYSIS IN ACC,03655,TTH,2:00 p.m.-3:30 p.m.,GSB 3.128,Face-to-face,"HALLMAN, NICHOLAS JENNING",closed,Graduate
ACC  380K 32-INTL ACCTING/TRNSFR PRICING,03660,M,3:30 p.m.-6:30 p.m.,RRH 4.308,Face-to-face,"ZOELLER, KATHRIN",closed,Graduate
ACC  380K 34-MERGER/ACQ ADVISORY SERVCS,03665,MW,9:30 a.m.-11:00 a.m.,RRH 5.408,Face-to-face,"BRADSHAW, MARK L",closed,Graduate
ACC  380K 35-OIL AND GAS ACCOUNTING,03670,TTH,12:30 p.m.-2:00 p.m.,RRH 4.308,Face-to-face,"PARSONS, PAUL ANDREW",closed,Graduate
ACC  380K 35-OIL AND GAS ACCOUNTING,03675,TTH,2:00 p.m.-3:30 p.m.,RRH 4.308,Face-to-face,"PARSONS, PAUL ANDREW",closed,Graduate
ACC  383K 4-FRAUD EXAMINATION,03680,MW,8:00 a.m.-9:30 a.m.,RRH 5.408,Face-to-face,"BRADSHAW, MARK L",closed,Graduate
ACC  383K 7-INTERNAL AUDITING PRACTICUM,03685,M,11:00 a.m.-2:00 p.m.,RRH 5.382,Face-to-face,"GOODSON, STEPHEN G",open; reserved,Graduate
ACC  383K 7-INTERNAL AUDITING PRACTICUM,03690,M,3:30 p.m.-6:30 p.m.,RRH 5.382,Face-to-face,"GOODSON, STEPHEN G",closed,Graduate
ACC  384 1-TAX RESEARCH METHODOLOGY,03695,MW,9:30 a.m.-11:00 a.m.,GSB 2.122,Face-to-face,"ZVINAKIS, KRISTINA",closed,Graduate
ACC  384 1-TAX RESEARCH METHODOLOGY,03700,MW,11:00 a.m.-12:30 p.m.,GSB 2.122,Face-to-face,"ZVINAKIS, KRISTINA",closed,Graduate
ACC  384 11-FLOW-THROUGH ENTITIES TAX,03705,MW,11:00 a.m.-12:30 p.m.,RRH 3.414,Face-to-face,"WILLIAMS, BRADEN MERN",closed,Graduate
ACC  384 11-FLOW-THROUGH ENTITIES TAX,03710,MW,12:30 p.m.-2:00 p.m.,RRH 3.414,Face-to-face,"WILLIAMS, BRADEN MERN",open; reserved,Graduate
ACC  384 12-MULTIJURISDICTIONAL TAX,03715,MW,12:30 p.m.-2:00 p.m.,RRH 3.304,Face-to-face,"WHITAKER, BRETT J",closed,Graduate
ACC  386K 6-DOCTORAL RESEARCH TOPICS,03720,F,9:00 a.m.-12:00 p.m.,GSB 3.130,Face-to-face,"TOYNBEE, SARA M",open; reserved,Graduate
ACC  386K 7-FNDTNS OF FINANCIAL ACC RSCH,03725,F,6:00 p.m.-9:00 p.m.,CBA 6.420,Face-to-face,"YU, YONG",open; reserved,Graduate
ACC  387 1-INTRO TO MANAGERIAL ACC,03730,TTH,8:00 a.m.-9:30 a.m.,GSB 3.106,Face-to-face,"SMITH, STEPHEN T",open; reserved,Graduate
ACC  387 1-INTRO TO MANAGERIAL ACC,03735,MW,11:00 a.m.-12:30 p.m.,GSB 3.138,Face-to-face,"LAUX, VOLKER",open; reserved,Graduate
ACC  387 1-INTRO TO MANAGERIAL ACC,03740,MW,12:30 p.m.-2:00 p.m.,GSB 3.138,Face-to-face,"LAUX, VOLKER",open; reserved,Graduate
ACC  387 1-INTRO TO MANAGERIAL ACC,03745,MW,2:00 p.m.-3:30 p.m.,GSB 3.138,Face-to-face,"LAUX, VOLKER",open; reserved,Graduate
ACC  391S INDEPENDENT STUDY,03750,,,,Face-to-face,,open; reserved,Graduate
ACC  691S INDEPENDENT STUDY,03755,,,,Face-to-face,,open,Graduate
ACC  392N MPA INTERNSHIP,03760,,,,Face-to-face,,open; reserved,Graduate
ACC  698A THESIS,03765,,,,Face-to-face,,open; reserved,Graduate
ACC  698B THESIS,03770,,,,Face-to-face,,open; reserved,Graduate
ACC  398R MASTER'S REPORT,03775,,,,Face-to-face,,open; reserved,Graduate
