course,unique,days,hour,room,instruction_mode,instructor,status,level
PER  210 LOWER-DIV PERCUSSION: PRIN,26515,W,4:00 p.m.-5:30 p.m.,MRH 6.222,Face-to-face,"HUNTLEY, RICHARD LIVINGST",open,Lower
PER  210 LOWER-DIV PERCUSSION: PRIN,26520,W,4:00 p.m.-5:30 p.m.,MRH 6.222,Face-to-face,"SHULTIS, ARLO W",open,Lower
PER  210 LOWER-DIV PERCUSSION: PRIN,26525,W,4:00 p.m.-5:30 p.m.,MRH 6.222,Face-to-face,"TREVINO, IVAN",open,Lower
PER  210 LOWER-DIV PERCUSSION: PRIN,26530,W,4:00 p.m.-5:30 p.m.,MRH 6.222,Face-to-face,"BURRITT, THOMAS A",open; reserved,Lower
PER  312 LOWER-DIV PERCUSSION: MAJOR,26535,W,4:00 p.m.-5:30 p.m.,MRH 6.222,Face-to-face,"BURRITT, THOMAS A",open; reserved,Lower
PER  312 LOWER-DIV PERCUSSION: MAJOR,26540,W,4:00 p.m.-5:30 p.m.,MRH 6.222,Face-to-face,"HUNTLEY, RICHARD LIVINGST",open,Lower
PER  312 LOWER-DIV PERCUSSION: MAJOR,26545,W,4:00 p.m.-5:30 p.m.,MRH 6.222,Face-to-face,"SHULTIS, ARLO W",open,Lower
PER  312 LOWER-DIV PERCUSSION: MAJOR,26550,W,4:00 p.m.-5:30 p.m.,MRH 6.222,Face-to-face,"TREVINO, IVAN",open,Lower
PER  251 UPPER-DIV PERCUSSION: SEC,26555,W,4:00 p.m.-5:30 p.m.,MRH 6.222,Face-to-face,"HUNTLEY, RICHARD LIVINGST",open,Upper
PER  251 UPPER-DIV PERCUSSION: SEC,26560,W,4:00 p.m.-5:30 p.m.,MRH 6.222,Face-to-face,"SHULTIS, ARLO W",open,Upper
PER  251 UPPER-DIV PERCUSSION: SEC,26565,W,4:00 p.m.-5:30 p.m.,MRH 6.222,Face-to-face,"TREVINO, IVAN",open,Upper
PER  251 UPPER-DIV PERCUSSION: SEC,26570,W,4:00 p.m.-5:30 p.m.,MRH 6.222,Face-to-face,"BURRITT, THOMAS A",open; reserved,Upper
PER  260 UPPER-DIV PERCUSSION: PRIN,26575,W,4:00 p.m.-5:30 p.m.,MRH 6.222,Face-to-face,"HUNTLEY, RICHARD LIVINGST",open,Upper
PER  260 UPPER-DIV PERCUSSION: PRIN,26580,W,4:00 p.m.-5:30 p.m.,MRH 6.222,Face-to-face,"SHULTIS, ARLO W",open,Upper
PER  260 UPPER-DIV PERCUSSION: PRIN,26585,W,4:00 p.m.-5:30 p.m.,MRH 6.222,Face-to-face,"TREVINO, IVAN",open,Upper
PER  260 UPPER-DIV PERCUSSION: PRIN,26590,W,4:00 p.m.-5:30 p.m.,MRH 6.222,Face-to-face,"BURRITT, THOMAS A",open; reserved,Upper
PER  362 UPPER-DIV PERCUSSION: MAJOR,26595,W,4:00 p.m.-5:30 p.m.,MRH 6.222,Face-to-face,"BURRITT, THOMAS A",open; reserved,Upper
PER  362 UPPER-DIV PERCUSSION: MAJOR,26600,W,4:00 p.m.-5:30 p.m.,MRH 6.222,Face-to-face,"HUNTLEY, RICHARD LIVINGST",open,Upper
PER  362 UPPER-DIV PERCUSSION: MAJOR,26605,W,4:00 p.m.-5:30 p.m.,MRH 6.222,Face-to-face,"SHULTIS, ARLO W",open,Upper
PER  362 UPPER-DIV PERCUSSION: MAJOR,26610,W,4:00 p.m.-5:30 p.m.,MRH 6.222,Face-to-face,"TREVINO, IVAN",open,Upper
PER  280 GRADUATE PERCUSSION,26615,W,4:00 p.m.-5:30 p.m.,MRH 6.222,Face-to-face,"HUNTLEY, RICHARD LIVINGST",open,Graduate
PER  280 GRADUATE PERCUSSION,26620,W,4:00 p.m.-5:30 p.m.,MRH 6.222,Face-to-face,"SHULTIS, ARLO W",open,Graduate
PER  280 GRADUATE PERCUSSION,26625,W,4:00 p.m.-5:30 p.m.,MRH 6.222,Face-to-face,"TREVINO, IVAN",open,Graduate
PER  280 GRADUATE PERCUSSION,26630,W,4:00 p.m.-5:30 p.m.,MRH 6.222,Face-to-face,"BURRITT, THOMAS A",open; reserved,Graduate
PER  380 GRADUATE PERCUSSION,26635,W,4:00 p.m.-5:30 p.m.,MRH 6.222,Face-to-face,"HUNTLEY, RICHARD LIVINGST",open,Graduate
PER  380 GRADUATE PERCUSSION,26640,W,4:00 p.m.-5:30 p.m.,MRH 6.222,Face-to-face,"SHULTIS, ARLO W",open,Graduate
PER  380 GRADUATE PERCUSSION,26645,W,4:00 p.m.-5:30 p.m.,MRH 6.222,Face-to-face,"TREVINO, IVAN",open,Graduate
PER  380 GRADUATE PERCUSSION,26650,W,4:00 p.m.-5:30 p.m.,MRH 6.222,Face-to-face,"BURRITT, THOMAS A",open; reserved,Graduate
PER  480 GRADUATE PERCUSSION,26655,W,4:00 p.m.-5:30 p.m.,MRH 6.222,Face-to-face,"BURRITT, THOMAS A",open; reserved,Graduate
PER  480 GRADUATE PERCUSSION,26660,W,4:00 p.m.-5:30 p.m.,MRH 6.222,Face-to-face,"HUNTLEY, RICHARD LIVINGST",open,Graduate
PER  480 GRADUATE PERCUSSION,26665,W,4:00 p.m.-5:30 p.m.,MRH 6.222,Face-to-face,"SHULTIS, ARLO W",open,Graduate
PER  480 GRADUATE PERCUSSION,26670,W,4:00 p.m.-5:30 p.m.,MRH 6.222,Face-to-face,"TREVINO, IVAN",open,Graduate
PER  290 ADVANCED GRADUATE PERCUSSION,26675,W,4:00 p.m.-5:30 p.m.,MRH 6.222,Face-to-face,"BURRITT, THOMAS A",open; reserved,Graduate
PER  290 ADVANCED GRADUATE PERCUSSION,26680,W,4:00 p.m.-5:30 p.m.,MRH 6.222,Face-to-face,"HUNTLEY, RICHARD LIVINGST",open,Graduate
PER  290 ADVANCED GRADUATE PERCUSSION,26685,W,4:00 p.m.-5:30 p.m.,MRH 6.222,Face-to-face,"SHULTIS, ARLO W",open,Graduate
